Datum,1NP894
10/07/1960 00:00:00,71.17
20/07/1960 00:00:00,71.06
30/07/1960 00:00:00,70.96
10/08/1960 00:00:00,70.93
20/08/1960 00:00:00,70.83
30/08/1960 00:00:00,70.78
10/09/1960 00:00:00,70.78
20/09/1960 00:00:00,70.77
30/09/1960 00:00:00,70.79
10/10/1960 00:00:00,70.8
20/10/1960 00:00:00,70.82
30/10/1960 00:00:00,70.83
10/11/1960 00:00:00,70.8
20/11/1960 00:00:00,70.81
30/11/1960 00:00:00,70.83
10/12/1960 00:00:00,70.92
20/12/1960 00:00:00,70.91
30/12/1960 00:00:00,70.81
10/01/1961 00:00:00,70.9
20/01/1961 00:00:00,70.93
30/01/1961 00:00:00,70.91
10/02/1961 00:00:00,70.71
20/02/1961 00:00:00,70.71
28/02/1961 00:00:00,70.72
10/03/1961 00:00:00,70.82
20/03/1961 00:00:00,70.8
30/03/1961 00:00:00,70.8
10/04/1961 00:00:00,70.88
20/04/1961 00:00:00,70.88
30/04/1961 00:00:00,70.92
10/05/1961 00:00:00,70.96
20/05/1961 00:00:00,71.38
30/05/1961 00:00:00,72.07
10/06/1961 00:00:00,71.84
20/06/1961 00:00:00,71.56
30/06/1961 00:00:00,71.45
10/07/1961 00:00:00,71.26
20/07/1961 00:00:00,71.1
30/07/1961 00:00:00,70.98
10/08/1961 00:00:00,70.86
20/08/1961 00:00:00,70.74
30/08/1961 00:00:00,70.68
10/09/1961 00:00:00,70.63
20/09/1961 00:00:00,70.59
30/09/1961 00:00:00,70.52
10/10/1961 00:00:00,70.54
20/10/1961 00:00:00,70.48
30/10/1961 00:00:00,70.41
10/11/1961 00:00:00,70.37
20/11/1961 00:00:00,70.4
30/11/1961 00:00:00,70.37
10/12/1961 00:00:00,70.38
20/12/1961 00:00:00,70.33
30/12/1961 00:00:00,70.38
10/01/1962 00:00:00,70.43
20/01/1962 00:00:00,70.47
30/01/1962 00:00:00,70.45
10/02/1962 00:00:00,70.47
20/02/1962 00:00:00,70.66
28/02/1962 00:00:00,70.79
10/03/1962 00:00:00,71.08
20/03/1962 00:00:00,71.42
30/03/1962 00:00:00,72.26
10/04/1962 00:00:00,72.73
20/04/1962 00:00:00,73.18
30/04/1962 00:00:00,72.77
10/05/1962 00:00:00,72.62
20/05/1962 00:00:00,72.23
30/05/1962 00:00:00,71.92
10/06/1962 00:00:00,71.67
20/06/1962 00:00:00,71.48
30/06/1962 00:00:00,71.42
10/07/1962 00:00:00,71.17
20/07/1962 00:00:00,71.06
30/07/1962 00:00:00,70.98
10/08/1962 00:00:00,70.83
20/08/1962 00:00:00,70.73
30/08/1962 00:00:00,70.69
10/09/1962 00:00:00,70.58
20/09/1962 00:00:00,70.55
30/09/1962 00:00:00,70.47
10/10/1962 00:00:00,70.47
20/10/1962 00:00:00,70.48
30/10/1962 00:00:00,70.42
10/11/1962 00:00:00,70.48
20/11/1962 00:00:00,70.67
30/11/1962 00:00:00,71.03
10/12/1962 00:00:00,70.48
20/12/1962 00:00:00,70.54
30/12/1962 00:00:00,70.62
10/01/1963 00:00:00,70.85
20/01/1963 00:00:00,71.92
30/01/1963 00:00:00,70.93
10/02/1963 00:00:00,71.21
20/02/1963 00:00:00,71.82
28/02/1963 00:00:00,72.18
10/03/1963 00:00:00,71.82
20/03/1963 00:00:00,71.88
30/03/1963 00:00:00,71.95
10/04/1963 00:00:00,72.19
20/04/1963 00:00:00,72.13
30/04/1963 00:00:00,72.04
10/05/1963 00:00:00,71.95
20/05/1963 00:00:00,71.83
30/05/1963 00:00:00,71.53
10/06/1963 00:00:00,71.23
20/06/1963 00:00:00,71.52
30/06/1963 00:00:00,71.23
10/07/1963 00:00:00,71.22
20/07/1963 00:00:00,70.63
30/07/1963 00:00:00,70.83
10/08/1963 00:00:00,70.82
20/08/1963 00:00:00,70.68
30/08/1963 00:00:00,70.59
10/09/1963 00:00:00,70.62
20/09/1963 00:00:00,70.58
30/09/1963 00:00:00,70.43
10/10/1963 00:00:00,70.53
20/10/1963 00:00:00,70.48
30/10/1963 00:00:00,70.29
10/11/1963 00:00:00,70.26
20/11/1963 00:00:00,70.21
30/11/1963 00:00:00,70.14
10/12/1963 00:00:00,70.17
20/12/1963 00:00:00,70.13
30/12/1963 00:00:00,70.34
10/01/1964 00:00:00,70.29
20/01/1964 00:00:00,70.27
30/01/1964 00:00:00,70.33
10/02/1964 00:00:00,70.63
20/02/1964 00:00:00,70.59
28/02/1964 00:00:00,70.37
10/03/1964 00:00:00,70.43
20/03/1964 00:00:00,70.44
30/03/1964 00:00:00,70.58
10/04/1964 00:00:00,70.53
20/04/1964 00:00:00,70.59
30/04/1964 00:00:00,70.69
10/05/1964 00:00:00,70.69
20/05/1964 00:00:00,70.73
30/05/1964 00:00:00,70.79
10/06/1964 00:00:00,70.85
20/06/1964 00:00:00,70.73
30/06/1964 00:00:00,70.67
10/07/1964 00:00:00,70.63
20/07/1964 00:00:00,70.59
30/07/1964 00:00:00,70.49
10/08/1964 00:00:00,70.47
20/08/1964 00:00:00,70.43
30/08/1964 00:00:00,70.34
10/09/1964 00:00:00,70.33
20/09/1964 00:00:00,70.29
30/09/1964 00:00:00,70.19
10/10/1964 00:00:00,70.19
20/10/1964 00:00:00,70.23
30/10/1964 00:00:00,70.24
10/11/1964 00:00:00,70.34
20/11/1964 00:00:00,70.4
30/11/1964 00:00:00,70.51
10/12/1964 00:00:00,70.54
20/12/1964 00:00:00,70.55
30/12/1964 00:00:00,70.52
10/01/1965 00:00:00,70.68
20/01/1965 00:00:00,70.65
30/01/1965 00:00:00,70.64
10/02/1965 00:00:00,70.7
20/02/1965 00:00:00,70.64
28/02/1965 00:00:00,70.65
10/03/1965 00:00:00,70.73
20/03/1965 00:00:00,70.95
30/03/1965 00:00:00,71.19
10/04/1965 00:00:00,71.2
20/04/1965 00:00:00,71.14
30/04/1965 00:00:00,71.28
10/05/1965 00:00:00,71.38
20/05/1965 00:00:00,71.64
30/05/1965 00:00:00,72.03
10/06/1965 00:00:00,72.05
20/06/1965 00:00:00,72.14
30/06/1965 00:00:00,72.08
10/07/1965 00:00:00,72.03
20/07/1965 00:00:00,71.85
30/07/1965 00:00:00,71.67
10/08/1965 00:00:00,71.4
20/08/1965 00:00:00,71.34
30/08/1965 00:00:00,70.95
10/09/1965 00:00:00,70.85
20/09/1965 00:00:00,70.79
30/09/1965 00:00:00,70.69
10/10/1965 00:00:00,70.65
20/10/1965 00:00:00,70.59
30/10/1965 00:00:00,70.53
10/11/1965 00:00:00,70.45
20/11/1965 00:00:00,70.39
30/11/1965 00:00:00,70.33
10/12/1965 00:00:00,70.28
20/12/1965 00:00:00,70.33
30/12/1965 00:00:00,70.38
10/01/1966 00:00:00,70.72
20/01/1966 00:00:00,70.54
30/01/1966 00:00:00,70.58
10/02/1966 00:00:00,70.74
20/02/1966 00:00:00,70.93
28/02/1966 00:00:00,71.04
10/03/1966 00:00:00,71.03
20/03/1966 00:00:00,71.09
30/03/1966 00:00:00,71.13
10/04/1966 00:00:00,71.18
20/04/1966 00:00:00,71.24
30/04/1966 00:00:00,71.18
10/05/1966 00:00:00,71.22
20/05/1966 00:00:00,71.18
30/05/1966 00:00:00,71.14
10/06/1966 00:00:00,71.2
20/06/1966 00:00:00,71.13
30/06/1966 00:00:00,71.25
10/07/1966 00:00:00,71.04
20/07/1966 00:00:00,70.96
30/07/1966 00:00:00,70.85
10/08/1966 00:00:00,70.84
20/08/1966 00:00:00,70.75
30/08/1966 00:00:00,70.63
10/09/1966 00:00:00,70.7
20/09/1966 00:00:00,70.59
30/09/1966 00:00:00,70.53
10/10/1966 00:00:00,70.55
20/10/1966 00:00:00,70.49
30/10/1966 00:00:00,70.37
10/11/1966 00:00:00,70.4
20/11/1966 00:00:00,70.37
30/11/1966 00:00:00,70.34
10/12/1966 00:00:00,70.4
20/12/1966 00:00:00,70.44
30/12/1966 00:00:00,70.47
10/01/1967 00:00:00,70.5
20/01/1967 00:00:00,70.59
30/01/1967 00:00:00,70.68
10/02/1967 00:00:00,70.7
20/02/1967 00:00:00,70.73
28/02/1967 00:00:00,70.75
10/03/1967 00:00:00,70.85
20/03/1967 00:00:00,70.91
30/03/1967 00:00:00,70.99
10/04/1967 00:00:00,71.04
20/04/1967 00:00:00,71.13
30/04/1967 00:00:00,71.46
10/05/1967 00:00:00,71.49
20/05/1967 00:00:00,71.55
30/05/1967 00:00:00,71.55
10/06/1967 00:00:00,71.5
20/06/1967 00:00:00,71.46
30/06/1967 00:00:00,71.38
10/07/1967 00:00:00,71.4
20/07/1967 00:00:00,71.33
30/07/1967 00:00:00,71.29
10/08/1967 00:00:00,71.23
20/08/1967 00:00:00,71.15
30/08/1967 00:00:00,70.94
10/09/1967 00:00:00,70.88
20/09/1967 00:00:00,70.8
30/09/1967 00:00:00,70.6
10/10/1967 00:00:00,70.6
20/10/1967 00:00:00,70.49
30/10/1967 00:00:00,70.45
10/11/1967 00:00:00,70.44
20/11/1967 00:00:00,70.3
