Datum,1NP901A
1.7.1987. 00:00:00,75.48
5.7.1987. 00:00:00,75.52
10.7.1987. 00:00:00,75.53
15.7.1987. 00:00:00,75.4
20.7.1987. 00:00:00,75.23
25.7.1987. 00:00:00,75.18
1.8.1987. 00:00:00,75.18
5.8.1987. 00:00:00,75.16
10.8.1987. 00:00:00,75.09
15.8.1987. 00:00:00,75.04
20.8.1987. 00:00:00,75.02
25.8.1987. 00:00:00,75.0
1.9.1987. 00:00:00,75.01
5.9.1987. 00:00:00,75.0
10.9.1987. 00:00:00,74.98
15.9.1987. 00:00:00,74.93
20.9.1987. 00:00:00,74.96
25.9.1987. 00:00:00,74.93
1.10.1987. 00:00:00,74.93
5.10.1987. 00:00:00,74.92
10.10.1987. 00:00:00,74.91
15.10.1987. 00:00:00,74.93
20.10.1987. 00:00:00,74.91
25.10.1987. 00:00:00,74.9
1.11.1987. 00:00:00,74.89
5.11.1987. 00:00:00,74.87
10.11.1987. 00:00:00,74.85
15.11.1987. 00:00:00,74.85
20.11.1987. 00:00:00,74.91
25.11.1987. 00:00:00,74.94
1.12.1987. 00:00:00,74.95
5.12.1987. 00:00:00,74.95
10.12.1987. 00:00:00,74.97
15.12.1987. 00:00:00,74.96
20.12.1987. 00:00:00,74.96
25.12.1987. 00:00:00,74.98
1.1.1988. 00:00:00,75.0
5.1.1988. 00:00:00,75.01
10.1.1988. 00:00:00,75.01
15.1.1988. 00:00:00,74.98
20.1.1988. 00:00:00,74.95
25.1.1988. 00:00:00,74.92
1.2.1988. 00:00:00,74.92
5.2.1988. 00:00:00,74.93
10.2.1988. 00:00:00,74.93
15.2.1988. 00:00:00,74.95
20.2.1988. 00:00:00,74.94
25.2.1988. 00:00:00,74.94
1.3.1988. 00:00:00,75.07
5.3.1988. 00:00:00,75.22
10.3.1988. 00:00:00,75.25
15.3.1988. 00:00:00,75.27
20.3.1988. 00:00:00,75.31
25.3.1988. 00:00:00,75.37
1.4.1988. 00:00:00,75.35
5.4.1988. 00:00:00,75.33
10.4.1988. 00:00:00,75.33
15.4.1988. 00:00:00,75.31
20.4.1988. 00:00:00,75.27
25.4.1988. 00:00:00,75.18
1.5.1988. 00:00:00,75.17
5.5.1988. 00:00:00,75.17
10.5.1988. 00:00:00,75.15
15.5.1988. 00:00:00,75.13
20.5.1988. 00:00:00,75.13
25.5.1988. 00:00:00,75.13
1.6.1988. 00:00:00,75.11
5.6.1988. 00:00:00,75.11
10.6.1988. 00:00:00,75.13
