Datum,1NP907A
01/07/1987 00:00:00,73.72
05/07/1987 00:00:00,73.73
10/07/1987 00:00:00,73.8
15/07/1987 00:00:00,73.59
20/07/1987 00:00:00,73.31
25/07/1987 00:00:00,73.2
01/08/1987 00:00:00,73.13
05/08/1987 00:00:00,73.1
10/08/1987 00:00:00,73.07
15/08/1987 00:00:00,73.04
20/08/1987 00:00:00,73.05
25/08/1987 00:00:00,73.03
01/09/1987 00:00:00,73.03
05/09/1987 00:00:00,73.01
10/09/1987 00:00:00,72.96
15/09/1987 00:00:00,72.89
20/09/1987 00:00:00,72.9
25/09/1987 00:00:00,72.89
01/10/1987 00:00:00,72.89
05/10/1987 00:00:00,72.91
10/10/1987 00:00:00,72.92
15/10/1987 00:00:00,72.93
20/10/1987 00:00:00,72.97
25/10/1987 00:00:00,73.01
01/11/1987 00:00:00,72.95
05/11/1987 00:00:00,72.88
10/11/1987 00:00:00,72.94
15/11/1987 00:00:00,73.33
20/11/1987 00:00:00,73.63
25/11/1987 00:00:00,73.83
01/12/1987 00:00:00,73.82
05/12/1987 00:00:00,73.8
10/12/1987 00:00:00,73.77
15/12/1987 00:00:00,73.77
20/12/1987 00:00:00,73.75
25/12/1987 00:00:00,73.73
05/01/1988 00:00:00,73.72
10/01/1988 00:00:00,73.69
15/01/1988 00:00:00,73.65
20/01/1988 00:00:00,73.57
25/01/1988 00:00:00,73.49
30/01/1988 00:00:00,73.38
05/02/1988 00:00:00,73.43
10/02/1988 00:00:00,73.48
15/02/1988 00:00:00,73.48
20/02/1988 00:00:00,73.5
25/02/1988 00:00:00,73.54
28/02/1988 00:00:00,73.6
05/03/1988 00:00:00,73.73
10/03/1988 00:00:00,73.84
15/03/1988 00:00:00,73.98
20/03/1988 00:00:00,74.33
25/03/1988 00:00:00,74.51
30/03/1988 00:00:00,74.74
05/04/1988 00:00:00,74.73
10/04/1988 00:00:00,74.63
15/04/1988 00:00:00,74.49
20/04/1988 00:00:00,74.43
25/04/1988 00:00:00,74.33
30/04/1988 00:00:00,74.13
05/05/1988 00:00:00,74.06
10/05/1988 00:00:00,73.95
15/05/1988 00:00:00,73.87
20/05/1988 00:00:00,73.71
25/05/1988 00:00:00,73.73
30/05/1988 00:00:00,73.75
05/06/1988 00:00:00,73.75
10/06/1988 00:00:00,73.77
15/06/1988 00:00:00,73.77
20/06/1988 00:00:00,73.76
25/06/1988 00:00:00,73.69
30/06/1988 00:00:00,73.63
05/07/1988 00:00:00,73.55
10/07/1988 00:00:00,73.45
15/07/1988 00:00:00,73.31
20/07/1988 00:00:00,73.13
25/07/1988 00:00:00,73.08
30/07/1988 00:00:00,73.03
05/08/1988 00:00:00,72.98
10/08/1988 00:00:00,72.93
15/08/1988 00:00:00,72.89
20/08/1988 00:00:00,72.83
25/08/1988 00:00:00,72.81
30/08/1988 00:00:00,72.78
05/09/1988 00:00:00,72.78
10/09/1988 00:00:00,72.78
15/09/1988 00:00:00,72.83
20/09/1988 00:00:00,72.85
25/09/1988 00:00:00,72.85
30/09/1988 00:00:00,72.81
05/10/1988 00:00:00,72.79
10/10/1988 00:00:00,72.83
15/10/1988 00:00:00,72.95
20/10/1988 00:00:00,72.95
25/10/1988 00:00:00,72.93
30/10/1988 00:00:00,72.93
05/11/1988 00:00:00,72.86
10/11/1988 00:00:00,72.93
15/11/1988 00:00:00,72.93
20/11/1988 00:00:00,73.05
25/11/1988 00:00:00,73.17
30/11/1988 00:00:00,73.26
05/12/1988 00:00:00,73.39
10/12/1988 00:00:00,73.63
15/12/1988 00:00:00,73.51
20/12/1988 00:00:00,73.43
25/12/1988 00:00:00,73.27
30/12/1988 00:00:00,73.18
01/01/1989 00:00:00,73.17
05/01/1989 00:00:00,73.15
10/01/1989 00:00:00,73.14
15/01/1989 00:00:00,73.13
20/01/1989 00:00:00,73.11
25/01/1989 00:00:00,73.07
01/02/1989 00:00:00,73.01
05/02/1989 00:00:00,73.03
10/02/1989 00:00:00,72.99
15/02/1989 00:00:00,72.96
20/02/1989 00:00:00,72.97
25/02/1989 00:00:00,72.96
01/03/1989 00:00:00,72.9
05/03/1989 00:00:00,72.96
10/03/1989 00:00:00,73.7
15/03/1989 00:00:00,73.35
20/03/1989 00:00:00,73.34
25/03/1989 00:00:00,73.37
01/04/1989 00:00:00,73.35
05/04/1989 00:00:00,73.33
10/04/1989 00:00:00,73.32
15/04/1989 00:00:00,73.27
20/04/1989 00:00:00,73.27
25/04/1989 00:00:00,73.26
01/05/1989 00:00:00,73.36
05/05/1989 00:00:00,73.42
10/05/1989 00:00:00,73.63
15/05/1989 00:00:00,73.86
20/05/1989 00:00:00,73.68
25/05/1989 00:00:00,73.48
01/06/1989 00:00:00,73.43
05/06/1989 00:00:00,73.71
10/06/1989 00:00:00,73.75
15/06/1989 00:00:00,73.61
20/06/1989 00:00:00,74.01
25/06/1989 00:00:00,74.33
01/07/1989 00:00:00,74.46
05/07/1989 00:00:00,74.48
