Datum,1NPPD-144
1.3.2002. 00:00:00,86.4
5.3.2002. 00:00:00,86.37
10.3.2002. 00:00:00,86.37
15.3.2002. 00:00:00,86.36
20.3.2002. 00:00:00,86.37
25.3.2002. 00:00:00,86.38
1.4.2002. 00:00:00,86.32
5.4.2002. 00:00:00,86.32
10.4.2002. 00:00:00,86.32
15.4.2002. 00:00:00,86.33
20.4.2002. 00:00:00,86.33
25.4.2002. 00:00:00,86.33
1.5.2002. 00:00:00,86.29
5.5.2002. 00:00:00,86.29
10.5.2002. 00:00:00,86.29
15.5.2002. 00:00:00,86.29
20.5.2002. 00:00:00,86.29
25.5.2002. 00:00:00,86.29
1.6.2002. 00:00:00,86.24
5.6.2002. 00:00:00,86.22
10.6.2002. 00:00:00,86.31
15.6.2002. 00:00:00,86.61
20.6.2002. 00:00:00,86.54
25.6.2002. 00:00:00,86.49
1.7.2002. 00:00:00,86.43
5.7.2002. 00:00:00,86.41
10.7.2002. 00:00:00,86.39
15.7.2002. 00:00:00,86.39
20.7.2002. 00:00:00,86.32
25.7.2002. 00:00:00,86.31
1.8.2002. 00:00:00,86.31
5.8.2002. 00:00:00,86.31
10.8.2002. 00:00:00,86.31
15.8.2002. 00:00:00,86.33
20.8.2002. 00:00:00,86.33
25.8.2002. 00:00:00,86.33
1.9.2002. 00:00:00,86.29
5.9.2002. 00:00:00,86.26
10.9.2002. 00:00:00,86.19
15.9.2002. 00:00:00,86.14
20.9.2002. 00:00:00,86.1
25.9.2002. 00:00:00,86.1
1.11.2002. 00:00:00,86.27
10.11.2002. 00:00:00,86.26
20.11.2002. 00:00:00,86.22
1.12.2002. 00:00:00,86.25
10.12.2002. 00:00:00,86.26
20.12.2002. 00:00:00,86.23
1.1.2003. 00:00:00,86.27
10.1.2003. 00:00:00,86.32
20.1.2003. 00:00:00,86.71
1.2.2003. 00:00:00,86.61
10.2.2003. 00:00:00,86.49
20.2.2003. 00:00:00,86.89
1.3.2003. 00:00:00,86.88
10.3.2003. 00:00:00,86.86
20.3.2003. 00:00:00,86.85
1.4.2003. 00:00:00,86.82
10.4.2003. 00:00:00,86.82
20.4.2003. 00:00:00,86.75
1.5.2003. 00:00:00,86.73
10.5.2003. 00:00:00,86.69
20.5.2003. 00:00:00,86.64
1.6.2003. 00:00:00,86.6
10.6.2003. 00:00:00,86.53
20.6.2003. 00:00:00,86.49
1.7.2003. 00:00:00,86.43
10.7.2003. 00:00:00,86.34
20.7.2003. 00:00:00,86.26
1.8.2003. 00:00:00,86.22
10.8.2003. 00:00:00,86.18
20.8.2003. 00:00:00,86.21
1.9.2003. 00:00:00,86.13
10.9.2003. 00:00:00,86.1
20.9.2003. 00:00:00,86.07
1.10.2003. 00:00:00,86.05
10.10.2003. 00:00:00,86.01
20.10.2003. 00:00:00,86.03
1.11.2003. 00:00:00,86.04
10.11.2003. 00:00:00,86.04
20.11.2003. 00:00:00,86.03
1.12.2003. 00:00:00,86.04
10.12.2003. 00:00:00,86.06
20.12.2003. 00:00:00,86.08
1.1.2004. 00:00:00,86.07
10.1.2004. 00:00:00,86.05
20.1.2004. 00:00:00,86.13
1.2.2004. 00:00:00,86.22
10.2.2004. 00:00:00,86.29
20.2.2004. 00:00:00,86.47
1.3.2004. 00:00:00,86.77
10.3.2004. 00:00:00,86.78
20.3.2004. 00:00:00,86.8
1.4.2004. 00:00:00,86.76
10.4.2004. 00:00:00,86.76
20.4.2004. 00:00:00,86.75
1.5.2004. 00:00:00,86.71
10.5.2004. 00:00:00,86.69
20.5.2004. 00:00:00,86.65
1.6.2004. 00:00:00,86.64
10.6.2004. 00:00:00,86.65
20.6.2004. 00:00:00,86.63
1.7.2004. 00:00:00,86.55
10.7.2004. 00:00:00,86.52
20.7.2004. 00:00:00,86.44
1.8.2004. 00:00:00,86.42
10.8.2004. 00:00:00,86.37
20.8.2004. 00:00:00,86.33
1.9.2004. 00:00:00,86.3
10.9.2004. 00:00:00,86.27
20.9.2004. 00:00:00,86.23
1.10.2004. 00:00:00,86.22
10.10.2004. 00:00:00,86.22
20.10.2004. 00:00:00,86.22
1.11.2004. 00:00:00,86.22
10.11.2004. 00:00:00,86.28
20.11.2004. 00:00:00,86.34
1.12.2004. 00:00:00,86.33
10.12.2004. 00:00:00,86.33
20.12.2004. 00:00:00,86.4
1.1.2005. 00:00:00,86.4
10.1.2005. 00:00:00,86.39
20.1.2005. 00:00:00,86.4
1.2.2005. 00:00:00,86.38
10.2.2005. 00:00:00,86.39
20.2.2005. 00:00:00,86.66
1.3.2005. 00:00:00,87.32
10.3.2005. 00:00:00,87.27
20.3.2005. 00:00:00,87.79
1.4.2005. 00:00:00,87.32
10.4.2005. 00:00:00,87.8
20.4.2005. 00:00:00,88.28
1.5.2005. 00:00:00,87.7
10.5.2005. 00:00:00,87.48
20.5.2005. 00:00:00,87.37
1.6.2005. 00:00:00,87.3
10.6.2005. 00:00:00,87.22
20.6.2005. 00:00:00,87.09
1.7.2005. 00:00:00,87.0
10.7.2005. 00:00:00,87.07
20.7.2005. 00:00:00,87.17
1.8.2005. 00:00:00,86.98
10.8.2005. 00:00:00,86.89
20.8.2005. 00:00:00,86.87
1.9.2005. 00:00:00,86.79
10.9.2005. 00:00:00,86.74
20.9.2005. 00:00:00,86.72
1.10.2005. 00:00:00,86.72
10.10.2005. 00:00:00,86.71
20.10.2005. 00:00:00,86.69
1.11.2005. 00:00:00,86.67
10.11.2005. 00:00:00,86.64
20.11.2005. 00:00:00,86.72
1.12.2005. 00:00:00,86.77
10.12.2005. 00:00:00,86.79
20.12.2005. 00:00:00,86.85
1.1.2006. 00:00:00,86.8
10.1.2006. 00:00:00,86.87
20.1.2006. 00:00:00,86.78
1.2.2006. 00:00:00,86.75
10.2.2006. 00:00:00,86.84
20.2.2006. 00:00:00,87.31
1.3.2006. 00:00:00,87.39
10.3.2006. 00:00:00,87.42
20.3.2006. 00:00:00,87.54
1.4.2006. 00:00:00,87.49
10.4.2006. 00:00:00,87.52
20.4.2006. 00:00:00,87.49
1.5.2006. 00:00:00,87.2
10.5.2006. 00:00:00,87.15
20.5.2006. 00:00:00,87.01
1.6.2006. 00:00:00,86.87
10.6.2006. 00:00:00,86.84
20.6.2006. 00:00:00,86.8
1.7.2006. 00:00:00,86.74
10.7.2006. 00:00:00,86.67
20.7.2006. 00:00:00,86.65
1.8.2006. 00:00:00,86.54
10.8.2006. 00:00:00,86.54
20.8.2006. 00:00:00,86.49
1.9.2006. 00:00:00,86.44
10.9.2006. 00:00:00,86.4
20.9.2006. 00:00:00,86.34
1.10.2006. 00:00:00,86.35
10.10.2006. 00:00:00,86.31
20.10.2006. 00:00:00,86.25
1.11.2006. 00:00:00,86.22
10.11.2006. 00:00:00,86.3
20.11.2006. 00:00:00,86.3
1.12.2006. 00:00:00,86.3
10.12.2006. 00:00:00,86.27
20.12.2006. 00:00:00,86.31
1.1.2007. 00:00:00,86.35
10.1.2007. 00:00:00,86.45
20.1.2007. 00:00:00,86.45
1.2.2007. 00:00:00,86.43
10.2.2007. 00:00:00,86.49
20.2.2007. 00:00:00,86.57
1.3.2007. 00:00:00,86.59
10.3.2007. 00:00:00,86.65
20.3.2007. 00:00:00,86.7
1.4.2007. 00:00:00,86.72
10.4.2007. 00:00:00,86.74
20.4.2007. 00:00:00,86.67
1.5.2007. 00:00:00,86.59
10.5.2007. 00:00:00,86.59
20.5.2007. 00:00:00,86.64
1.6.2007. 00:00:00,86.69
10.6.2007. 00:00:00,86.64
20.6.2007. 00:00:00,86.53
1.7.2007. 00:00:00,86.5
10.7.2007. 00:00:00,86.45
20.7.2007. 00:00:00,86.34
1.8.2007. 00:00:00,86.29
10.8.2007. 00:00:00,86.24
20.8.2007. 00:00:00,86.21
1.9.2007. 00:00:00,86.17
10.9.2007. 00:00:00,86.13
20.9.2007. 00:00:00,86.11
1.10.2007. 00:00:00,86.1
10.10.2007. 00:00:00,86.07
20.10.2007. 00:00:00,86.07
1.11.2007. 00:00:00,86.1
10.11.2007. 00:00:00,86.12
20.11.2007. 00:00:00,86.19
1.12.2007. 00:00:00,86.25
10.12.2007. 00:00:00,86.31
20.12.2007. 00:00:00,86.27
1.1.2008. 00:00:00,86.27
10.1.2008. 00:00:00,86.41
20.1.2008. 00:00:00,86.47
1.2.2008. 00:00:00,86.53
10.2.2008. 00:00:00,86.59
20.2.2008. 00:00:00,86.61
1.3.2008. 00:00:00,86.59
10.3.2008. 00:00:00,86.67
20.3.2008. 00:00:00,86.73
1.4.2008. 00:00:00,86.84
10.4.2008. 00:00:00,86.81
20.4.2008. 00:00:00,86.79
1.5.2008. 00:00:00,86.76
10.5.2008. 00:00:00,86.7
20.5.2008. 00:00:00,86.65
1.6.2008. 00:00:00,86.61
10.6.2008. 00:00:00,86.55
20.6.2008. 00:00:00,86.49
1.7.2008. 00:00:00,86.43
10.7.2008. 00:00:00,86.37
20.7.2008. 00:00:00,86.33
1.8.2008. 00:00:00,86.27
10.8.2008. 00:00:00,86.33
20.8.2008. 00:00:00,86.17
1.9.2008. 00:00:00,86.12
10.9.2008. 00:00:00,86.1
20.9.2008. 00:00:00,86.07
1.10.2008. 00:00:00,86.04
10.10.2008. 00:00:00,86.04
20.10.2008. 00:00:00,86.03
