Datum,1NPPL-111
1.5.2002. 00:00:00,351
5.5.2002. 00:00:00,340
10.5.2002. 00:00:00,365
15.5.2002. 00:00:00,375
20.5.2002. 00:00:00,371
25.5.2002. 00:00:00,388
1.6.2002. 00:00:00,385
5.6.2002. 00:00:00,350
10.6.2002. 00:00:00,362
15.6.2002. 00:00:00,380
20.6.2002. 00:00:00,395
25.6.2002. 00:00:00,402
1.7.2002. 00:00:00,411
5.7.2002. 00:00:00,420
10.7.2002. 00:00:00,413
15.7.2002. 00:00:00,424
20.7.2002. 00:00:00,427
25.7.2002. 00:00:00,424
1.8.2002. 00:00:00,430
5.8.2002. 00:00:00,430
10.8.2002. 00:00:00,426
15.8.2002. 00:00:00,422
20.8.2002. 00:00:00,402
25.8.2002. 00:00:00,453
1.9.2002. 00:00:00,363
5.9.2002. 00:00:00,373
10.9.2002. 00:00:00,384
15.9.2002. 00:00:00,402
20.9.2002. 00:00:00,412
25.9.2002. 00:00:00,386
1.10.2002. 00:00:00,374
5.10.2002. 00:00:00,367
10.10.2002. 00:00:00,372
15.10.2002. 00:00:00,371
20.10.2002. 00:00:00,317
25.10.2002. 00:00:00,325
1.11.2002. 00:00:00,331
5.11.2002. 00:00:00,331
10.11.2002. 00:00:00,332
15.11.2002. 00:00:00,324
20.11.2002. 00:00:00,318
25.11.2002. 00:00:00,309
1.12.2002. 00:00:00,317
5.12.2002. 00:00:00,327
10.12.2002. 00:00:00,332
15.12.2002. 00:00:00,342
20.12.2002. 00:00:00,350
25.12.2002. 00:00:00,362
1.1.2003. 00:00:00,362
5.1.2003. 00:00:00,353
10.1.2003. 00:00:00,341
15.1.2003. 00:00:00,304
20.1.2003. 00:00:00,334
25.1.2003. 00:00:00,316
1.2.2003. 00:00:00,318
5.2.2003. 00:00:00,323
10.2.2003. 00:00:00,325
15.2.2003. 00:00:00,343
20.2.2003. 00:00:00,359
25.2.2003. 00:00:00,375
1.3.2003. 00:00:00,357
5.3.2003. 00:00:00,382
10.3.2003. 00:00:00,372
15.3.2003. 00:00:00,364
20.3.2003. 00:00:00,360
25.3.2003. 00:00:00,362
1.4.2003. 00:00:00,368
5.4.2003. 00:00:00,372
10.4.2003. 00:00:00,374
15.4.2003. 00:00:00,380
20.4.2003. 00:00:00,383
25.4.2003. 00:00:00,385
1.5.2003. 00:00:00,392
5.5.2003. 00:00:00,394
10.5.2003. 00:00:00,396
15.5.2003. 00:00:00,396
20.5.2003. 00:00:00,397
25.5.2003. 00:00:00,401
1.6.2003. 00:00:00,405
5.6.2003. 00:00:00,410
10.6.2003. 00:00:00,419
15.6.2003. 00:00:00,419
20.6.2003. 00:00:00,427
25.6.2003. 00:00:00,431
1.7.2003. 00:00:00,435
5.7.2003. 00:00:00,439
10.7.2003. 00:00:00,439
15.7.2003. 00:00:00,441
20.7.2003. 00:00:00,446
25.7.2003. 00:00:00,445
